product_name,brand,category,merchant,merchant_city,merchant_type,bundle,price_before_discount,price_after_discount,discount_percentage,unit_sold,product_rating
[flash sale] somethinc holyshield! uv watery sunscreen gel spf 50+,Somethinc,Sunscreen,Somethinc,Tangerang,Reseller,No,153125.0,49000.0,68,2,5.0
somethinc copy paste tinted sunscreen spf 40 pa++++ 10ml,Somethinc,Sunscreen,BeautyHaul_NEW,Tangerang,Reseller,No,67089.0,53000.0,21,10,5.0
somethinc copy paste tinted sunscreen spf 40 pa++++,Somethinc,Sunscreen,Somethinc Makeup Official,Tangerang,Reseller,No,67089.0,53000.0,21,750,5.0
"somethinc [3 pcs] basic skincare starter kit - (calm down moisturizer, low ph jelly cleanser, sunscreen gel)",Somethinc,Sunscreen,Somethinc,Tangerang,Reseller,No,272230.0,201450.0,26,100,5.0
[flash sale] somethinc copy paste tinted sunscreen spf 40 pa++++,Somethinc,Sunscreen,Somethinc,Tangerang,Reseller,No,312963.0,169000.0,46,250,5.0
somethinc holyshield! uv watery sunscreen gel spf 50+ pa++++,Somethinc,Sunscreen,Elsbeauty,Kab. Sleman,Reseller,No,125000.0,110000.0,12,100,5.0
somethinc copy paste tinted sunscreen spf 40 pa++++ - skin tint,Somethinc,Sunscreen,Health Fairy,Bandung,Reseller,No,159000.0,95400.0,40,17,5.0
somethinc copy paste tinted sunscreen spf 40 pa++++ - skin tint hybrid sunscreen,Somethinc,Sunscreen,Primrose Beauty Shop,Surabaya,Reseller,No,159000.0,138330.0,13,100,5.0
somethinc holyshield no sebum mineral blur translucent loose powder spf 30 pa++ 11gr - easy touch up sunscreen powder,Somethinc,Sunscreen,Sakura Shop Surabaya,Surabaya,Reseller,No,99000.0,86130.0,13,22,5.0
somethinc holyshield! sunscreen shake mist spf46 pa+++ 50ml,Somethinc,Sunscreen,Watsons Indonesia Official Store,Kab. Tangerang,Retail,No,120000.0,96000.0,20,30,5.0
somethinc copy paste tinted sunscreen 10 ml spf 40 pa ++++,Somethinc,Sunscreen,Ciara Beauty,Bandar Lampung,Reseller,No,66500.0,55195.0,17,29,4.4
somethinc [2 pcs] perfect combo makeup prep kit - (tinted sunscreen + calm down moisturizer),Somethinc,Sunscreen,Somethinc,Tangerang,Reseller,No,437486.0,306240.0,30,250,5.0
somethinc [2 pcs] kulit bersih & terlindungi sinar uv - (sunscreen gel & low ph jelly cleanser),Somethinc,Sunscreen,Somethinc,Tangerang,Reseller,No,278080.0,208560.0,25,750,5.0
"somethinc batman series - ceraplump tinted lip balm, low ph gentle jelly cleanser, tipsy lashlift mascara, holyshield! sunscreen gel, clay glowgasm highlighter balm, clay sculptor bronzer & contour balm,  midnight eyeshadow",Somethinc,Sunscreen,Somethinc,Tangerang,Reseller,No,103488.0,89000.0,14,60,5.0
