product_name,price_after_discount,discount_percentage,merchant,merchant_city,unit_sold,product_rating
[FLASH SALE] SOMETHINC Low pH Gentle Jelly Cleanser,Rp112.000,53%,Somethinc,Tangerang,4rb+ terjual,5.0
[FLASH SALE] SOMETHINC Calm Down! Skinpair Moisturizer[free ss stick ned],Rp129.000,47%,Somethinc,Tangerang,10rb+ terjual,5.0
[FLASH SALE] SOMETHINC Ceraplump Tinted Lip Balm SPF25 PA++++,Rp89.000,55%,Somethinc,Tangerang,3rb+ terjual,5.0
[FLASH SALE] SOMETHINC Copy Paste COVERBLUR Powder Foundation,Rp169.000,46%,Somethinc,Tangerang,1rb+ terjual,4.9
[NEW] SOMETHINC [2 PCS] Paket Best Seller Layering Serum Diamond,Rp331.200,29%,Somethinc,Tangerang,1rb+ terjual,4.9
[Tasya Farasya Approved] SOMETHINC Calm Down! Skinpair Moisturizer,Rp129.000,9%,Somethinc,Tangerang,10rb+ terjual,5.0
SOMETHINC Forever Stay Comfort Lip Glaze,Rp99.000,23%,Somethinc,Tangerang,500+ terjual,4.9
[FLASH SALE] SOMETHINC Checkmatte Transferproof Lipstick - Lipstick Batang Transferproof,Rp99.000,53%,Somethinc,Tangerang,1rb+ terjual,5.0
[FLASH SALE] SOMETHINC Holyshield! UV Watery Sunscreen Gel SPF 50+,Rp49.000,68%,Somethinc,Tangerang,2rb+ terjual,5.0
SOMETHINC CoverBlur Pro Filter Breathable Cushion SPF 40 PA++++,Rp189.000,21%,Somethinc,Tangerang,100+ terjual,5.0
SOMETHINC Copy Paste Tinted Sunscreen SPF 40 PA++++ 10ml,Rp53.000,21%,BeautyHaul_NEW,Tangerang,10rb+ terjual,5.0
SOMETHINC REFILL CoverBlur Pro Filter Breathable Cushion SPF 40 PA++++,Rp135.000,25%,Somethinc,Tangerang,19 terjual,5.0
Somethinc Hooman Under Control Hd Blur Loose Powder - Translucent,Rp107.100,28%,Watsons Indonesia Official Store,Kab. Tangerang,500+ terjual,4.9
SOMETHINC Low pH Gentle Jelly Cleanser,Rp91.000,35%,BeautyHaul_NEW,Tangerang,1rb+ terjual,5.0
[NEW] SOMETHINC Level 1% Encapsulated Retinol,Rp169.000,23%,Somethinc,Tangerang,10rb+ terjual,5.0
SOMETHINC Ceraplump Tinted Lip Balm SPF25 PA++++ Lip Tint Tahan Lama Lipstick Lipgloss Bibir,Rp59.500,37%,Lyne Beauty_NEW,Surabaya,10rb+ terjual,4.9
[FLASH SALE] SOMETHINC CERAMIC SKIN Saviour Moisturizer Gel,Rp169.000,41%,Somethinc,Tangerang,2rb+ terjual,5.0
SOMETHINC [2 PCS] Forever Stay Comfort Lip Glaze Twinpack,Rp174.240,32%,Somethinc,Tangerang,60+ terjual,4.5
[NEW] SOMETHINC Acne Treatment 2% Salicylic Acid Serum,Rp139.000,22%,Somethinc,Tangerang,9rb+ terjual,4.9
Somethinc Low PH Jelly Cleanser 350ml,Rp168.700,25%,Watsons Indonesia Official Store,Kab. Tangerang,250+ terjual,5.0
[NEW] SOMETHINC Advanced Peeling 20% AHA BHA PHA LHA Serum,Rp139.000,22%,Somethinc,Tangerang,10rb+ terjual,4.9
SOMETHINC SKINLIFT 1% Copper Peptide Resveratrol Serum,Rp349.000,9%,Somethinc,Tangerang,1rb+ terjual,5.0
[NEW] SOMETHINC GLASS-C 12% VITAMIN C + GlutaBright + FERULIC Serum,Rp199.000,20%,Somethinc,Tangerang,30+ terjual,5.0
[NEW] SOMETHINC Gentle Bright Niacinamide + Alpha Arbutin Serum,Rp139.000,22%,Somethinc,Tangerang,30+ terjual,5.0
Somethinc Checkmatte Transferproof Lipstick - Lipstick Matte Bibir Kering Lipstik,Rp63.900,35%,Lyne Beauty_NEW,Surabaya,10rb+ terjual,4.9
SOMETHINC Hooman Under Control HD Blur Loose Powder,Rp127.100,27%,BeautyHaul_NEW,Tangerang,10rb+ terjual,5.0
SOMETHINC BioSpicule Renewal Serum - Serum dengan Natural Microneedle,Rp169.000,21%,Somethinc,Tangerang,1rb+ terjual,5.0
SOMETHINC CERAMIC SKIN Saviour Moisturizer Gel,Rp169.000,9%,Somethinc Makeup Official,Tangerang,30+ terjual,5.0
[NEW] SOMETHINC HYALuronic9+ Advanced + B5 Serum - Serum Kulit Kering,Rp139.000,22%,Somethinc,Tangerang,10rb+ terjual,5.0
